playerID,year,firstName,lastName,pos,tmID,GP,G,A,Pts,SOG
dougljo01,1980,Jordy,Douglas,L,HAR,55.0,13.0,9.0,22.0,98.0
driscpe01,1980,Peter,Driscoll,L,EDM,21.0,2.0,3.0,5.0,17.0
drouiju01,1980,Jude,Drouin,C,WIN,7.0,0.0,0.0,0.0,1.0
dudleri01,1980,Rick,Dudley,L,BUF,38.0,10.0,13.0,23.0,49.0
dudleri01,1980,Rick,Dudley,L,WIN,30.0,5.0,5.0,10.0,53.0
duguaro01,1980,Ron,Duguay,C,NYR,50.0,17.0,21.0,38.0,103.0
dunlobl01,1980,Blake,Dunlop,C,STL,80.0,20.0,67.0,87.0,134.0
dunnri01,1980,Richie,Dunn,D,BUF,79.0,7.0,42.0,49.0,175.0
duponan01,1980,Andre,Dupont,D,QUE,63.0,5.0,8.0,13.0,72.0
duponno01,1980,Norm,Dupont,L,WIN,80.0,27.0,26.0,53.0,215.0
durisvi01,1980,Vitezslav,Duris,D,TOR,57.0,1.0,12.0,13.0,70.0
dwyermi01,1980,Mike,Dwyer,L,CAL,4.0,0.0,1.0,1.0,6.0
eavesmi01,1980,Mike,Eaves,C,MNS,48.0,10.0,24.0,34.0,104.0
eavesmu01,1980,Murray,Eaves,C,WIN,12.0,1.0,2.0,3.0,12.0
edberro01,1980,Rolf,Edberg,C,WAS,45.0,8.0,8.0,16.0,48.0
edwardo01,1980,Don,Edwards,G,BUF,45.0,0.0,2.0,2.0,0.0
edwarga01,1980,Gary,Edwards,G,EDM,15.0,0.0,2.0,2.0,0.0
ellisro01,1980,Ron,Ellis,R,TOR,27.0,2.0,3.0,5.0,19.0
engblbr01,1980,Brian,Engblom,D,MTL,80.0,3.0,25.0,28.0,120.0
eriksth01,1980,Thomas,Eriksson,D,PHI,24.0,1.0,10.0,11.0,49.0
esposph01,1980,Phil,Esposito,C,NYR,41.0,7.0,13.0,20.0,91.0
esposto01,1980,Tony,Esposito,G,CHI,66.0,0.0,3.0,3.0,0.0
evansjo01,1980,John Paul,Evans,C,PHI,1.0,0.0,0.0,0.0,0.0
farrida01,1980,Dave,Farrish,D,TOR,74.0,2.0,18.0,20.0,110.0
faubema01,1980,Mario,Faubert,D,PIT,72.0,8.0,44.0,52.0,142.0
federbe01,1980,Bernie,Federko,C,STL,78.0,31.0,73.0,104.0,170.0
feltrto01,1980,Tony,Feltrin,D,PIT,2.0,0.0,0.0,0.0,0.0
ferguge01,1980,George,Ferguson,R,PIT,79.0,25.0,18.0,43.0,181.0
fidlemi01,1980,Mike,Fidler,L,MNS,20.0,5.0,12.0,17.0,42.0
fidlemi01,1980,Mike,Fidler,L,HAR,38.0,9.0,9.0,18.0,59.0
fitchbo01,1980,Bob,Fitchner,C,QUE,8.0,1.0,0.0,1.0,1.0
flockro01,1980,Rob,Flockhart,R,MNS,2.0,0.0,0.0,0.0,1.0
flockro02,1980,Ron,Flockhart,F,PHI,14.0,3.0,7.0,10.0,24.0
fogolle02,1980,Lee,Fogolin,D,EDM,80.0,13.0,17.0,30.0,89.0
foligmi01,1980,Mike,Foligno,R,DET,80.0,28.0,35.0,63.0,181.0
fontajo01,1980,Jon,Fontas,C,MNS,1.0,0.0,0.0,0.0,0.0
fostedw01,1980,Dwight,Foster,F,BOS,77.0,24.0,28.0,52.0,107.0
fotiuni01,1980,Nick,Fotiu,L,HAR,42.0,4.0,3.0,7.0,36.0
fotiuni01,1980,Nick,Fotiu,L,NYR,27.0,5.0,6.0,11.0,28.0
foxgr01,1980,Greg,Fox,D,CHI,75.0,3.0,16.0,19.0,69.0
foxji01,1980,Jim,Fox,R,LAK,71.0,18.0,25.0,43.0,92.0
frasecu01,1980,Curt,Fraser,L,VAN,77.0,25.0,24.0,49.0,188.0
friesro01,1980,Ron,Friest,L,MNS,4.0,1.0,0.0,1.0,6.0
ftorero01,1980,Robbie,Ftorek,C,QUE,78.0,24.0,49.0,73.0,148.0
gagejo01,1980,Jody,Gage,R,DET,16.0,2.0,2.0,4.0,26.0
gagnepa01,1980,Paul,Gagne,L,COR,61.0,25.0,16.0,41.0,99.0
gainebo01,1980,Bob,Gainey,L,MTL,78.0,23.0,24.0,47.0,181.0
galarmi01,1980,Michel,Galarneau,C,HAR,30.0,2.0,6.0,8.0,19.0
gardnbi01,1980,Bill,Gardner,C,CHI,1.0,0.0,0.0,0.0,0.0
gardnpa01,1980,Paul,Gardner,C,PIT,62.0,34.0,40.0,74.0,183.0
gareda01,1980,Danny,Gare,R,BUF,73.0,46.0,39.0,85.0,248.0
garrejo01,1980,John,Garrett,G,HAR,54.0,0.0,1.0,1.0,0.0
gartnmi01,1980,Mike,Gartner,R,WAS,80.0,48.0,46.0,94.0,326.0
