month,name,L,OL,T,W
1982-12,Minnesota North Stars,3.0,,4.0,6.0
1982-02,Minnesota North Stars,3.0,,2.0,7.0
1982-01,Minnesota North Stars,3.0,,4.0,6.0
1982-03,Minnesota North Stars,6.0,,2.0,7.0
1982-11,Minnesota North Stars,6.0,,3.0,5.0
1982-10,Minnesota North Stars,2.0,,1.0,9.0
1982-04,Montreal Canadiens,0.0,,1.0,1.0
1982-12,Montreal Canadiens,6.0,,3.0,4.0
1982-02,Montreal Canadiens,5.0,,1.0,7.0
1982-01,Montreal Canadiens,4.0,,2.0,7.0
1982-03,Montreal Canadiens,5.0,,2.0,7.0
1982-11,Montreal Canadiens,2.0,,2.0,9.0
1982-10,Montreal Canadiens,2.0,,3.0,7.0
1982-04,New Jersey Devils,0.0,,1.0,1.0
1982-12,New Jersey Devils,9.0,,0.0,3.0
1982-02,New Jersey Devils,8.0,,2.0,1.0
1982-01,New Jersey Devils,6.0,,4.0,4.0
1982-03,New Jersey Devils,10.0,,0.0,4.0
1982-11,New Jersey Devils,10.0,,4.0,1.0
1982-10,New Jersey Devils,6.0,,3.0,3.0
1982-04,New York Islanders,1.0,,0.0,1.0
1982-12,New York Islanders,6.0,,2.0,4.0
1982-02,New York Islanders,5.0,,3.0,4.0
1982-01,New York Islanders,2.0,,1.0,9.0
1982-03,New York Islanders,3.0,,1.0,9.0
1982-11,New York Islanders,7.0,,5.0,4.0
1982-10,New York Islanders,2.0,,0.0,11.0
1982-04,New York Rangers,1.0,,1.0,0.0
1982-12,New York Rangers,5.0,,2.0,6.0
1982-02,New York Rangers,4.0,,2.0,5.0
1982-01,New York Rangers,7.0,,3.0,5.0
1982-03,New York Rangers,7.0,,1.0,7.0
1982-11,New York Rangers,4.0,,1.0,6.0
1982-10,New York Rangers,7.0,,0.0,6.0
1982-04,Philadelphia Flyers,0.0,,0.0,2.0
1982-12,Philadelphia Flyers,3.0,,2.0,8.0
1982-02,Philadelphia Flyers,2.0,,0.0,8.0
1982-01,Philadelphia Flyers,1.0,,2.0,12.0
1982-03,Philadelphia Flyers,8.0,,1.0,6.0
1982-11,Philadelphia Flyers,4.0,,3.0,5.0
1982-10,Philadelphia Flyers,5.0,,0.0,8.0
1982-04,Pittsburgh Penguins,2.0,,0.0,0.0
1982-12,Pittsburgh Penguins,9.0,,2.0,3.0
1982-02,Pittsburgh Penguins,11.0,,0.0,3.0
1982-01,Pittsburgh Penguins,12.0,,1.0,1.0
1982-03,Pittsburgh Penguins,7.0,,2.0,3.0
1982-11,Pittsburgh Penguins,3.0,,3.0,5.0
1982-10,Pittsburgh Penguins,9.0,,1.0,3.0
1982-04,Quebec Nordiques,0.0,,0.0,2.0
1982-12,Quebec Nordiques,4.0,,4.0,5.0
1982-02,Quebec Nordiques,5.0,,4.0,4.0
1982-01,Quebec Nordiques,7.0,,0.0,7.0
